"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2025","27,859.5","27,752.7","27,904.3","27,716.8","","0.43%"
"03/14/2025","27,741.4","27,684.7","27,844.5","27,602.8","","0.29%"
"03/13/2025","27,661.8","27,720.9","27,769.1","27,605.7","","-0.14%"
"03/12/2025","27,699.4","27,812.0","27,832.9","27,686.5","","-0.31%"
"03/11/2025","27,786.3","27,656.5","27,883.3","27,618.4","","0.50%"
"03/10/2025","27,648.7","27,634.7","27,761.2","27,582.5","","0.18%"
"03/07/2025","27,599.9","27,510.0","27,773.7","27,436.6","","0.43%"
"03/06/2025","27,480.5","27,521.2","27,688.6","27,440.2","","-0.07%"
"03/05/2025","27,498.6","27,161.3","27,537.8","27,064.0","","1.34%"
"03/04/2025","27,133.7","26,842.8","27,165.2","26,785.9","","1.18%"
"03/03/2025","26,817.9","26,531.2","26,885.0","26,529.9","","1.25%"
"02/28/2025","26,487.4","26,553.9","26,630.9","26,475.0","","-0.17%"
"02/27/2025","26,533.1","26,782.7","26,805.6","26,548.7","","-0.88%"
"02/26/2025","26,768.3","26,846.2","26,896.3","26,758.4","","-0.23%"
"02/25/2025","26,829.2","26,662.0","26,861.5","26,640.2","","0.65%"
"02/24/2025","26,654.8","26,783.4","26,876.9","26,623.8","","-0.09%"
"02/21/2025","26,678.4","26,798.6","26,827.2","26,668.5","","-0.36%"
"02/20/2025","26,775.0","26,595.7","26,806.2","26,585.4","","0.70%"
"02/19/2025","26,589.2","26,659.5","26,721.5","26,542.1","","-0.17%"
"02/18/2025","26,634.8","26,717.1","26,786.3","26,603.5","","-0.24%"
"02/17/2025","26,697.7","26,631.6","26,744.6","26,613.8","","0.31%"
"02/14/2025","26,615.7","26,647.9","26,696.3","26,547.8","","-0.02%"
"02/13/2025","26,620.4","26,554.4","26,655.5","26,414.8","","0.36%"
"02/12/2025","26,526.0","26,462.0","26,664.3","26,374.1","","0.29%"
"02/11/2025","26,449.1","26,169.5","26,514.4","26,146.6","","1.12%"
"02/10/2025","26,156.6","26,130.1","26,244.4","26,018.7","","0.15%"
"02/07/2025","26,117.0","26,239.1","26,350.2","26,082.0","","-0.40%"
"02/06/2025","26,222.4","26,184.4","26,273.3","26,134.5","","0.25%"
"02/05/2025","26,155.8","26,129.3","26,288.9","26,077.0","","0.18%"
"02/04/2025","26,108.5","26,171.6","26,193.1","25,899.4","","-0.16%"
"02/03/2025","26,149.6","25,802.3","26,185.5","25,563.0","","0.70%"
"01/31/2025","25,967.2","26,059.4","26,171.0","25,957.8","","-0.27%"
"01/30/2025","26,037.3","26,134.6","26,253.7","26,048.1","","-0.29%"
"01/29/2025","26,112.5","26,159.7","26,194.8","26,038.1","","-0.08%"
"01/28/2025","26,132.6","26,315.2","26,320.2","26,118.3","","-0.60%"
"01/27/2025","26,290.4","26,298.9","26,418.0","26,217.4","","-0.02%"
"01/24/2025","26,295.5","26,176.7","26,417.2","26,123.6","","0.67%"
"01/23/2025","26,120.8","26,114.9","26,232.0","26,020.2","","0.20%"
"01/22/2025","26,069.5","26,355.3","26,366.7","26,112.4","","-1.04%"
"01/21/2025","26,343.7","26,377.2","26,424.0","26,131.7","","-0.07%"
"01/20/2025","26,363.0","26,026.5","26,424.0","26,001.2","","1.39%"
"01/17/2025","26,001.0","26,136.3","26,165.8","25,998.7","","-0.48%"
"01/16/2025","26,126.0","26,117.4","26,176.9","26,038.6","","0.07%"
"01/15/2025","26,108.3","26,172.0","26,286.2","26,042.5","","-0.19%"
"01/14/2025","26,159.2","26,022.3","26,174.6","25,994.2","","0.58%"
"01/13/2025","26,009.5","25,981.4","26,028.7","25,843.2","","0.12%"
"01/10/2025","25,978.8","26,146.5","26,168.0","25,916.7","","-0.58%"
"01/09/2025","26,131.2","26,192.2","26,201.7","26,104.7","","-0.17%"
"01/08/2025","26,176.8","26,232.6","26,295.9","26,076.7","","-0.16%"
"01/07/2025","26,219.7","26,372.4","26,476.1","26,231.3","","-0.53%"
"01/06/2025","26,359.4","26,195.4","26,490.4","26,165.7","","0.68%"
"01/03/2025","26,182.3","26,130.8","26,213.2","26,107.7","","0.23%"
"01/02/2025","26,121.9","26,385.9","26,436.9","26,029.0","","-1.00%"
"01/01/2025","26,384.5","26,385.9","26,402.5","26,377.0","","0.02%"
"12/31/2024","26,379.4","26,522.2","26,568.1","26,361.7","","-0.50%"
"12/30/2024","26,512.9","26,557.2","26,653.5","26,433.0","","-0.07%"
"12/27/2024","26,531.5","26,510.9","26,585.2","26,463.6","","0.13%"
"12/26/2024","26,497.9","26,452.3","26,528.7","26,423.7","","0.19%"
"12/25/2024","26,447.0","26,452.5","26,492.2","26,439.3","","0.05%"
"12/24/2024","26,434.4","26,480.7","26,496.0","26,414.4","","-0.14%"
"12/23/2024","26,470.3","26,536.8","26,593.0","26,426.0","","-0.25%"
"12/20/2024","26,536.6","26,386.8","26,594.1","26,329.4","","0.63%"
"12/19/2024","26,371.3","26,353.6","26,534.4","26,338.3","","0.12%"
"12/18/2024","26,340.7","26,691.7","26,760.0","26,330.7","","-1.25%"
